date,value,retrieved_at
1946-01-01,1.170,2026-08-21
1946-02-01,1.170,2026-08-21
1946-03-01,1.170,2026-08-21
1946-04-01,1.270,2026-08-21
1946-05-01,1.270,2026-08-21
1946-06-01,1.270,2026-08-21
1946-07-01,1.270,2026-08-21
1946-08-01,1.520,2026-08-21
1946-09-01,1.520,2026-08-21
1946-10-01,1.520,2026-08-21
1946-11-01,1.520,2026-08-21
1946-12-01,1.620,2026-08-21
1947-01-01,1.620,2026-08-21
1947-02-01,1.620,2026-08-21
1947-03-01,1.620,2026-08-21
1947-04-01,1.870,2026-08-21
1947-05-01,1.870,2026-08-21
1947-06-01,1.870,2026-08-21
1947-07-01,1.870,2026-08-21
1947-08-01,1.870,2026-08-21
1947-09-01,1.870,2026-08-21
1947-10-01,1.870,2026-08-21
1947-11-01,2.070,2026-08-21
1947-12-01,2.070,2026-08-21
1948-01-01,2.570,2026-08-21
1948-02-01,2.570,2026-08-21
1948-03-01,2.570,2026-08-21
1948-04-01,2.570,2026-08-21
1948-05-01,2.570,2026-08-21
1948-06-01,2.570,2026-08-21
1948-07-01,2.570,2026-08-21
1948-08-01,2.570,2026-08-21
1948-09-01,2.570,2026-08-21
1948-10-01,2.570,2026-08-21
1948-11-01,2.570,2026-08-21
1948-12-01,2.570,2026-08-21
1949-01-01,2.570,2026-08-21
1949-02-01,2.570,2026-08-21
1949-03-01,2.570,2026-08-21
1949-04-01,2.570,2026-08-21
1949-05-01,2.570,2026-08-21
1949-06-01,2.570,2026-08-21
1949-07-01,2.570,2026-08-21
1949-08-01,2.570,2026-08-21
1949-09-01,2.570,2026-08-21
1949-10-01,2.570,2026-08-21
1949-11-01,2.570,2026-08-21
1949-12-01,2.570,2026-08-21
1950-01-01,2.570,2026-08-21
1950-02-01,2.570,2026-08-21
1950-03-01,2.570,2026-08-21
1950-04-01,2.570,2026-08-21
1950-05-01,2.570,2026-08-21
1950-06-01,2.570,2026-08-21
1950-07-01,2.570,2026-08-21
1950-08-01,2.570,2026-08-21
1950-09-01,2.570,2026-08-21
1950-10-01,2.570,2026-08-21
1950-11-01,2.570,2026-08-21
1950-12-01,2.570,2026-08-21
1951-01-01,2.570,2026-08-21
1951-02-01,2.570,2026-08-21
1951-03-01,2.570,2026-08-21
1951-04-01,2.570,2026-08-21
1951-05-01,2.570,2026-08-21
1951-06-01,2.570,2026-08-21
1951-07-01,2.570,2026-08-21
1951-08-01,2.570,2026-08-21
1951-09-01,2.570,2026-08-21
1951-10-01,2.570,2026-08-21
1951-11-01,2.570,2026-08-21
1951-12-01,2.570,2026-08-21
1952-01-01,2.570,2026-08-21
1952-02-01,2.570,2026-08-21
1952-03-01,2.570,2026-08-21
1952-04-01,2.570,2026-08-21
1952-05-01,2.570,2026-08-21
1952-06-01,2.570,2026-08-21
1952-07-01,2.570,2026-08-21
1952-08-01,2.570,2026-08-21
1952-09-01,2.570,2026-08-21
1952-10-01,2.570,2026-08-21
1952-11-01,2.570,2026-08-21
1952-12-01,2.570,2026-08-21
1953-01-01,2.570,2026-08-21
1953-02-01,2.570,2026-08-21
1953-03-01,2.570,2026-08-21
1953-04-01,2.570,2026-08-21
1953-05-01,2.570,2026-08-21
1953-06-01,2.820,2026-08-21
1953-07-01,2.820,2026-08-21
1953-08-01,2.820,2026-08-21
1953-09-01,2.820,2026-08-21
1953-10-01,2.820,2026-08-21
1953-11-01,2.820,2026-08-21
1953-12-01,2.820,2026-08-21
1954-01-01,2.820,2026-08-21
1954-02-01,2.820,2026-08-21
1954-03-01,2.820,2026-08-21
1954-04-01,2.820,2026-08-21
1954-05-01,2.820,2026-08-21
1954-06-01,2.820,2026-08-21
1954-07-01,2.820,2026-08-21
1954-08-01,2.820,2026-08-21
1954-09-01,2.820,2026-08-21
1954-10-01,2.820,2026-08-21
1954-11-01,2.820,2026-08-21
1954-12-01,2.820,2026-08-21
1955-01-01,2.820,2026-08-21
1955-02-01,2.820,2026-08-21
1955-03-01,2.820,2026-08-21
1955-04-01,2.820,2026-08-21
1955-05-01,2.820,2026-08-21
1955-06-01,2.820,2026-08-21
1955-07-01,2.820,2026-08-21
1955-08-01,2.820,2026-08-21
1955-09-01,2.820,2026-08-21
1955-10-01,2.820,2026-08-21
1955-11-01,2.820,2026-08-21
1955-12-01,2.820,2026-08-21
1956-01-01,2.820,2026-08-21
1956-02-01,2.820,2026-08-21
1956-03-01,2.820,2026-08-21
1956-04-01,2.820,2026-08-21
1956-05-01,2.820,2026-08-21
1956-06-01,2.820,2026-08-21
1956-07-01,2.820,2026-08-21
1956-08-01,2.820,2026-08-21
1956-09-01,2.820,2026-08-21
1956-10-01,2.820,2026-08-21
1956-11-01,2.820,2026-08-21
1956-12-01,2.820,2026-08-21
1957-01-01,2.820,2026-08-21
1957-02-01,3.070,2026-08-21
1957-03-01,3.070,2026-08-21
1957-04-01,3.070,2026-08-21
1957-05-01,3.070,2026-08-21
1957-06-01,3.070,2026-08-21
1957-07-01,3.070,2026-08-21
1957-08-01,3.070,2026-08-21
1957-09-01,3.070,2026-08-21
1957-10-01,3.070,2026-08-21
1957-11-01,3.070,2026-08-21
1957-12-01,3.000,2026-08-21
1958-01-01,3.070,2026-08-21
1958-02-01,3.070,2026-08-21
1958-03-01,3.070,2026-08-21
1958-04-01,3.070,2026-08-21
1958-05-01,3.070,2026-08-21
1958-06-01,3.070,2026-08-21
1958-07-01,3.070,2026-08-21
1958-08-01,3.070,2026-08-21
1958-09-01,3.070,2026-08-21
1958-10-01,3.070,2026-08-21
1958-11-01,3.000,2026-08-21
1958-12-01,3.000,2026-08-21
1959-01-01,3.000,2026-08-21
1959-02-01,3.000,2026-08-21
1959-03-01,2.970,2026-08-21
1959-04-01,2.970,2026-08-21
1959-05-01,2.970,2026-08-21
1959-06-01,2.970,2026-08-21
1959-07-01,2.970,2026-08-21
1959-08-01,2.970,2026-08-21
1959-09-01,2.970,2026-08-21
1959-10-01,2.970,2026-08-21
1959-11-01,2.970,2026-08-21
1959-12-01,2.970,2026-08-21
1960-01-01,2.970,2026-08-21
1960-02-01,2.970,2026-08-21
1960-03-01,2.970,2026-08-21
1960-04-01,2.970,2026-08-21
1960-05-01,2.970,2026-08-21
1960-06-01,2.970,2026-08-21
1960-07-01,2.970,2026-08-21
1960-08-01,2.970,2026-08-21
1960-09-01,2.970,2026-08-21
1960-10-01,2.970,2026-08-21
1960-11-01,2.970,2026-08-21
1960-12-01,2.970,2026-08-21
1961-01-01,2.970,2026-08-21
1961-02-01,2.970,2026-08-21
1961-03-01,2.970,2026-08-21
1961-04-01,2.970,2026-08-21
1961-05-01,2.970,2026-08-21
1961-06-01,2.970,2026-08-21
1961-07-01,2.970,2026-08-21
1961-08-01,2.970,2026-08-21
1961-09-01,2.970,2026-08-21
1961-10-01,2.970,2026-08-21
1961-11-01,2.970,2026-08-21
1961-12-01,2.970,2026-08-21
1962-01-01,2.970,2026-08-21
1962-02-01,2.970,2026-08-21
1962-03-01,2.970,2026-08-21
1962-04-01,2.970,2026-08-21
1962-05-01,2.970,2026-08-21
1962-06-01,2.970,2026-08-21
1962-07-01,2.970,2026-08-21
